state,povertyRate,perWhite,perBlack,perNativeAm,perAsian,perHis,perCompHighSchool,medIncome
AK,20.12342657,40.08111888,0.609440559,51.14195804,1.628321678,2.10034965,84.9451049,52100
AL,20.33074074,73.39685185,22.36314815,0.637962963,0.511111111,3.058333333,80.71074074,40501
AR,23.10194175,78.21961165,16.62368932,0.719029126,0.479223301,4.250485437,80.32446602,35595
AZ,25.33512064,61.08793566,1.006702413,26.57024129,0.794101877,21.74369973,80.56836461,42388
CA,16.78448919,70.58620433,2.9251305,1.66808352,6.071364653,30.84772558,81.79679344,62698
CO,13.19183168,87.39084158,0.99480198,1.583910891,1.129207921,18.59430693,89.56980198,58290
CT,8.860992908,86.27801418,4.986524823,0.660283688,2.89929078,7.909219858,91.58368794,75314
DC,14.9,72,21.4,0.4,2.2,6.9,93.4,54048
DE,13.12533333,75.50133333,15.90933333,0.52,2.044,8.369333333,88.22533333,60731
FL,17.4285553,78.44672686,13.63386005,0.450790068,1.649435666,16.51467269,85.73882619,50239
GA,24.02719735,61.86467662,30.80845771,0.303482587,1.686401327,6.489883914,78.95008292,40173
HI,13.54421769,33.9952381,1.084353741,0.396598639,25.40544218,10.83333333,91.3047619,64179
IA,12.13640124,96.65046536,0.571458118,0.278593588,0.405584281,2.862564633,90.12843847,48080
ID,17.30420561,88.85233645,0.313551402,2.646728972,0.544859813,10.43037383,86.22009346,42610
IL,13.87748148,90.29333333,4.758148148,0.261185185,1.350444444,5.175333333,88.5717037,54080
IN,15.50337423,94.88174847,1.67607362,0.27101227,0.550766871,3.345552147,86.40260736,47931
KS,14.9678125,93.06890625,1.0221875,1.73578125,0.43453125,5.0665625,88.32046875,45231
KY,19.63043478,91.14367589,5.412450593,0.22312253,0.775098814,2.248814229,82.68873518,46013
LA,22.44692982,66.18157895,29.50285088,0.959429825,0.748464912,2.856140351,79.40219298,41508
MA,10.0075,90.19875,2.676666667,0.304166667,2.615416667,4.799166667,92.12041667,70870
MD,9.475802998,72.39271949,19.15074946,0.339828694,3.035331906,5.892933619,89.1385439,79648
ME,16.04765625,91.528125,3.98828125,0.53046875,1.353125,2.38046875,91.45859375,47769
MI,17.72452555,90.69810219,4.083211679,1.073284672,0.953284672,3.529343066,89.25547445,45166
MN,13.58170455,90.61715909,2.225454545,3.363636364,1.017727273,3.102159091,89.48625,51529
MO,19.84974253,90.06199794,5.958805355,0.801750772,0.559526262,2.425025747,83.98012358,41899
MS,26.62703488,57.31162791,38.65116279,1.258430233,0.533139535,2.356686047,78.80087209,35350
MT,15.90031153,86.07320872,0.209034268,10.52834891,0.295950156,2.089719626,90.53831776,45307
NC,19.53196023,73.10553977,18.88892045,1.920880682,0.916193182,6.233096591,83.2265625,43469
ND,12.62111437,91.74164223,0.68856305,5.453958944,0.324046921,1.839296188,88.37800587,51495
NE,12.6141791,94.27313433,0.452985075,1.7,0.311007463,4.519029851,89.99458955,46602
NH,12.08111111,92.78333333,2.221111111,0.246666667,2.19,3.316666667,91.42222222,57415
NJ,8.626966292,79.84962547,6.737640449,1.071161049,5.632397004,13.04382022,90.62509363,80176
NM,22.48808777,65.9,0.945768025,15.6369906,0.56645768,41.95109718,81.3661442,41642
NV,12.96037736,84.5490566,1.564150943,4.343396226,2.032075472,10.97641509,88.30849057,57392
NY,11.49607509,88.57354949,4.301365188,0.377901024,2.659385666,6.631825939,90.63114334,70235
OH,14.69146758,91.95255973,4.005460751,0.767832765,0.73387372,2.261604096,88.56518771,50625
OK,20.16341108,73.96603499,3.171137026,13.37959184,0.565597668,6.14664723,83.24970845,40571
OR,16.31618497,88.49566474,1.080924855,2.24017341,1.230924855,8.694797688,88.12861272,48207
PA,12.39900118,92.75898942,3.669917744,0.174559342,1.00546416,2.80840188,89.24659224,51859
RI,15.31142857,61.39714286,33.76285714,0.365714286,0.845714286,3.862857143,87.13428571,54235
SC,22.35555556,66.19074074,27.43571429,1.929365079,0.648148148,4.277513228,81.1537037,39794
SD,15.69792899,85.16005917,1.064201183,10.68757396,0.369230769,2.121301775,87.92366864,45300
TN,19.97962085,87.72464455,7.297630332,0.370616114,0.680094787,8.235545024,81.61350711,42303
TX,18.53434867,82.99157485,5.551328581,0.764808814,0.999740765,38.06007777,78.26046662,51482
UT,11.48803987,90.57774086,0.457142857,3.201328904,0.735880399,6.693355482,91.4641196,59601
VA,14.43647913,75.7845735,14.91034483,0.524137931,3.674228675,6.298911071,85.29836661,61785
VT,13.52672414,86.29568966,7.692241379,0.355172414,2.043103448,3.998275862,89.89913793,47210
WA,14.13547826,83.10017391,1.611826087,3.563304348,2.816695652,10.03495652,88.51113043,59060
WI,12.72503259,92.68161669,0.892568449,3.005084746,0.764015645,3.41095176,90.29087353,50591
WV,20.00694444,94.73972222,2.789444444,0.266666667,0.420277778,1.456666667,83.34888889,39489
WY,11.43039216,92.59019608,0.398039216,2.456862745,0.449019608,6.293137255,90.55784314,57222
